Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
3132,RVO- Holland coast project 1,NLD,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,1,,,,,,,<100 MW,100.0,22222,17.3,,22222,[2715] [2911],Random location on Holland coast,53.7736178,5.443230004,,,,,
3133,RVO- Holland coast project 2,NLD,2033,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,500 MW,500.0,111111,86.6,,111111,[2715] [2911],Random location on Holland coast,53.7736178,5.443230004,,,,,
3134,EMSTEEL green steel ,ARE,2024,,DEMO,PEM,,Other/Unknown,,H2,,,,1,,,,,,,,,,,2.1MW,2.1,404,0.3,,404,[2716][2791][2792],Emirates Steel Arkan plant,24.32643943,54.47858785,,,,,
3135,Liberty Steel green steel,ARE,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,1,,,,,,,,,,,,,,,,0,[2716],Khalifa Economic Zone,24.72885263,54.74667095,,,,,
3136,Meraker,NOR,2027,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,,,,,,,,,,,6 MW,6.0,1304,1.0,,1304,[2706],Meraker,63.41401457,11.74440767,,,,,
3137,Masdar - Castilla La Mancha,ESP,2030,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,,0,[2716],Castilla- La Mancha,39.41971311,-2.73625002,,,,,
3138,Viker/Borg Hydrogen,NOR,2030,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,5 MW,5.0,1111,0.9,,1111,[2717],Fredrikstad,59.22089465,10.92830409,,,,,
3139,Raahen Monivoima Kokkola,FIN,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,,,,,1,,,,,5.7 MW,5.7,1267,1.0,,1267,[2718],Kokkola,63.8413308,23.12764713,,,,,
3140,GreenH2CY,CYP,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,2 MW,2.0,444,0.3,,444,[2719][3049],Random location in Cyprus,34.98044269,33.32331574,,,,,
3141,Solvay - Kouvola,FIN,2028,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,1,,,,,,,,,,5.7 MW,5.7,1267,1.0,,1267,[2720],Kouvola,60.86013774,26.74617114,,,,,
3142,SK Hydrogen-Ammonia plant,ARE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,250 ktNH3/y capacity,259.8,57742,45,,57742,[2721],Random location in UAE,24.54972368,54.46902991,,,,,
3143,H2 Triangle,CZE,2026,,Feasibility study,PEM,,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,4 MW,4.0,769,0.6,,769,[2722],Stankovice u Zatce,50.34925741,13.57394944,,,,,
3144,Zephyros project,NLD,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,2 MW,2.0,444,0.3,,444,[2727],Den Helder Port,52.95903134,4.775208842,,,,,
3145,Torrent ammonia plant,IND,2027,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,1,,,,,,,,,,,,,100 kt NH3/y production,182.3,40521,32,,40521,[2726],"Banaskantha, Gujarat",24.30901853,72.35204099,,,,,
3146,H2M Eemshaven,NLD,2028,,Feasibility study,NG w CCUS,,,,H2,,,,,,,,1,,,,,,,210 kt H2/y capacity,,269355,210,,0,[2730],Northern coast Netherlands,52.11802927,4.240630745,,,,,
3147,Liepaja Special Economic Zone (SEZ),LVA,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,1GW,1000.0,222222,173.3,,222222,[2732],Liepaja port,56.52019837,21.01492331,,,,,
3148,Lhyfe Le havre,FRA,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,,,,,,,1,,,34 t H2/d (production),71.6,15918,12.4,,15918,[2733],Port of Le Havre,49.49594275,0.102074898,,,,,
3149,Greenlink Musterland project,DEU,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,50MW,50.0,11111,8.7,,11111,[2734],Coesfeld ,51.93856981,7.17208771,,,,,
3150,H2 project US Gulf coast,USA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,20MW,20.0,4444,3.5,,4444,[2735],Random location at Us Gulf Coast,29.72929247,-95.38760866,,,,,
3151,E-methane pilot project ,OMN,,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,CH4,,,,,,,,,,,,,1,,Production of 7.1 kt e-CH4/y,38.9,8645,7,,8645,[2736],Random point in Oman,23.22735216,56.78053589,,,,,
3152,Eneos project,USA,2031,,Concept,NG w CCUS,Unknown Technology,,,H2,,,,,,,,,,,,,,,220 kt H2/y production,,313535.0,244,,0,[2738],US Gulf of Mexico,29.66339693,-92.46465271,,,,,
3154,Welspun ammonia project,IND,2029,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,170 kt H2/y production - 1000 kt NH3/y,1721.4,382542.7,298,,382543,[2739],"Kachchh, Gujarat",23.60654332,69.80508895,,,,,
3157,IHI - ISCE2 SAF project ,SGP,2025,,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,"10 kgH2/d for 5Kg SAF/d, capacity",0.02,5,0,,5,[2743],Singapore,1.278303621,103.7858852,,,,,
3158,H2 hub Bintulu Sarawak ,MYS,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,Ammonia,,1,,,,,,,,,,,,,,,,,,0,[2744],"Bintulu, Sarawak ",3.167729228,113.0032797,,,,,
3159,Nujio'qonik Green Hydrogen -phase 4,CAN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,1,,,,,1,1,,,,,,,2.600 GW,650,144444,112.6,,144444,Data from World Energy GH2,"Stephenville, Canada",48.52239588,-58.43472528,,,,,
3160,Green Hydrogen Hub Stuttgart (GH2S),DEU,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,10MW,10.0,2222,1.7,,2222,[2746],Stuttgard,48.79854422,9.146298968,,,,,
3161,H2DRIVEN,PRT,2026,,Feasibility study,PEM,,Other/Unknown,N/A,MeOH,,,1,,,,,,,,,,,,25MW,25.0,4808,3.7,,4808,[2747] [2748],Random location in Portugal,39.25586569,-8.850435386,,,,,
3162,Grove Hydrogen Energy Technology Group hydrogen project,CHN,2027,,FID/Construction,ALK,,Dedicated renewable,Others/Various,H2,,,,,,1,1,,,,,,,,40 ktH2/y production,472.0,102611,80,,102611,[2753],"Mulei County / Mori Kazakh Autonomous County, Xinjiang",44.07339231,90.64867403,,,,,
3165,H2U Hydrogen Valley – Reni - phase 1,UKR,2028,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,1,,,,,100MW,100.0,22222,17.3,,22222,[2754] [2755] [2757],"Reni city, Odesa region",45.4577311,28.28953534,,,,,
3166,H2U Hydrogen Valley – Reni - phase 2,UKR,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,1,,,,,200MW,100.0,22222,17.3,,22222,[2754] [2755] [2757],"Reni city, Odesa region",45.4577311,28.28953534,,,,,
3167,H2U Hydrogen Valley – Reni - phase 3,UKR,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,1,,,,,3GW,2800.0,622222,485.1,,622222,[2754] [2755] [2757],"Reni city, Odesa region",45.4577311,28.28953534,,,,,
3168,H2 project - Trelleborg city,SWE,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,10MW,10.0,2222,1.7,,2222,[2759],Trelleborg,55.37944034,13.15961136,,,,,
3169,Asahi Kasei hydrogen project,MYS,2027,,Feasibility study,ALK,,Other/Unknown,Unknown,H2,,,,,,,,,,,,,,,60MW,60,13043,10.2,,13043,[2760],Random location in Malaysia ,4.570413502,103.4582016,,,,,
3170,IRIS project,GRC,2030,,Concept,NG w CCUS,Unknown technology,,,H2,1,,,,,1,,,,,,,,,0.858 Mt CO2/y,,,,858000,107573,[2762],Agioi Theodori refinery,37.92087652,23.07130724,,,,,
3171,Hydrogen plant in Tomakomai,JPN,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,1,,,,1,,,,,,,,,,100MW,100.0,22222,17.3,,22222,[2763],Tomakomai city in Hokkaido,42.63499255,141.5956031,,,,,
3172,Ammonia production at Damietta,EGY,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,"240Mw, 150ktNH3/y capacity",240.0,53333,41.6,,53333,[2765],Damietta,31.437276,31.754646,,,,,
3173,Ocior Energy - Ammonia project Phase 1,EGY,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,100 kt NH3/y production,207.9,46194,36,,46194,[2766],Ein El Sokhna Port,29.64993545,32.36459204,,,,,
3174,Reliance in Maharashtra,IND,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,100 ktH2/y production,1012.6,225025,175,,225025,[2767],random location in Maharashtra,19.41201352,74.63462635,,,,,
3175,Storegga project for Scottish whisky sector - pahse 1,GBR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,,,,,,,,,,35MW,35.0,7778,6.1,,7778,[2768][3020],Marypark,57.43039803,-3.341094825,,,,,
3176,Storegga project for Scottish whisky sector - pahse 2,GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1,,,,,,,,,,70MW,35.0,7778,6.1,,7778,[2768],Marypark,57.43039803,-3.341094825,,,,,
3178,Ardagh Glass Limmared AB - Hydrogen plant,SWE,2024,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,1,,,,,,,,,,5MW,5.0,962,0.7,,962,[2771] [2772],Limmared,57.54170142,13.35726704,,,,,
3179,Petrobras - Green hydrogen pilot plant,BRA,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,2MW,2.0,444,0.3,,444,[2780],"Alto do Rodrigues, State of Rio Grande do Norte",-5.291379016,-36.76277888,,,,,
3180,"Eternal Power hydrogen project, Hamburg, phase 1",DEU,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,1,1,1,,,,,,,,,80MW,80.0,17778,13.9,,17778,[2782],Dummerstorf,54.01358898,12.22995516,,,,,
3181,"Eternal Power hydrogen project, Hamburg, phase 2",DEU,2030,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,1,1,1,,,,,,,,,400MW,320.0,71111,55.4,,71111,[2782],Dummerstorf,54.01358898,12.22995516,,,,,
3182,e-SAF hub in the Port of Rotterdam,NLD,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,Synfuels,,,,,,1,,,,,,,,,250 kt synfuels/y capacity,1665.482,370107,288.6,,370107,[2783][3318],Port of Rotterdam,51.94969996,4.145938915,,,,,
3183,Otog Qianqi integrated wind-solar hydrogen production and green ammonia synthesis project,CHN,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1,,,,,,,,,,,,,"150 kt NH3/y, capacity",155.9,34645,27,,34645,[2785] [2786],Otog Front Banner,39.32551799,107.7587731,,,,,
3185,Avina Southern California mobility Hub,USA,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,1,,,,,,,,,4t H2/d,8.4,1873,1,,1873,[2795],Vernon (California),34.00261682,-118.2172256,,,,,
3186,Shanghai Refire Group - Sun Mountain Development Zone (Wuzhong),CHN,2027,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,1,1,,,,,,,,,,,,16.5 ktH2/y capacity,95.2,21164,17,,21164,[2798],Wuzhong (Ningxia),37.98295047,106.2172709,,,,,
3187,Guohua New Energy - Sun Mountain Development Zone (Wuzhong),CHN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,8 ktH2/y production,92.4,20522,16,,20522,[2798],Wuzhong (Ningxia),37.98295047,106.2172709,,,,,
3188,Beijing Hydrogen Energy - Sun Mountain Development Zone (Wuzhong),CHN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,12 ktH2/y production,138.5,30783,24,,30783,"[2798]
[3245]",Wuzhong (Ningxia),37.98295047,106.2172709,,,,,
3189,"China Energy Engineering Group eSAF plant in Shuangyashan (Heilongjiang), phase 1",CHN,2027,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,1,,,,,,,,1,1,,,100 kt MeOH/y capacity,110.4,24540,19,,24540,[2799],Shuangyashan (Heilongjiang),46.6425337,131.1860167,,,,,
3190,"China Energy Engineering Group eSAF plant in Shuangyashan (Heilongjiang), phase 2",CHN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,1,,,,,,,,1,1,,,200 kt MeOH/y and 300 kt of synthetic kerosene (capacity),110.4,24540,19,,24540,[2799],Shuangyashan (Heilongjiang),46.6425337,131.1860167,,,,,
3194,Etuokeqian Banner 250MW photovoltaic power station and hydrogen energy comprehensive utilization demonstration project,CHN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,6 kt H2/y capacity,34.6,7696,6,,7696,[2806],Otog Front Banner,38.36629412,107.5995959,,,,,
3195,Ordos Dalate Banner Solar Hydrogen Storage Vehicle Zero Carbon Ecological Chain Demonstration Project,CHN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,9.3kt H2/y capacity,53.7,11929,9,,11929,[2806],Dalate Banner,40.26586949,109.9312702,,,,,
3196,Shenzhen Energy Group Chifeng Linxi hydrogen project,CHN,2026,,Feasibility study,ALK,,Dedicated renewable,Onshore wind,Ammonia,,1,,,,,,,,,,,,,"150 kt NH3/y, capacity",159.4,34645,27,,34645,[2618][2807],Linxi County,43.6021665,118.1743384,,,,,
3197,China General Nuclear Power Group methanol project in Ruichang City,CHN,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,MeOH,,,1,,,,,,,,,,,,50kt H2/y capacity,288.6,64132,50,,64132,[2808],Ruichang City,29.59531672,115.4478044,,,,,
3198,"Ilios Hydrogen Momforte plant, phase 1",ITA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,,,,,,0,[2809][2810],Momforte,38.15587076,15.38572182,,,,,
3199,"Ilios Hydrogen Sicily plant 2, phase 1",ITA,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,,,,,,0,[2809][2810],Random location in Siciliy,38.0479887,15.38956758,,,,,
3200,"Ilios Hydrogen Sicily plant 3, phase 1",ITA,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,,,,,,0,[2809][2810],Random location in Siciliy,38.0185307,14.7573346,,,,,
3201,"Ilios Hydrogen Tuscany plant, phase 1",ITA,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,,,,,,0,[2809][2810],Random location in Tuscany,43.27683091,10.85974246,,,,,
3202,"Ilios Hydrogen Marche plant, phase 1",ITA,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,,,,,,0,[2809][2810],Random location in Marche,43.42372783,13.2312776,,,,,
3203,"Ilios Hydrogen Momforte plant, phase 2",ITA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,100MW,100.0,22222,17.3,,22222,[2809][2810],Momforte,38.15587076,15.38572182,,,,,
3204,"Ilios Hydrogen Sicily plant 2, phase 2",ITA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,100MW,100.0,22222,17.3,,22222,[2809][2810],Random location in Siciliy,38.0479887,15.38956758,,,,,
3205,"Ilios Hydrogen Sicily plant 3, phase 2",ITA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,100MW,100.0,22222,17.3,,22222,[2809][2810],Random location in Siciliy,38.0185307,14.7573346,,,,,
3206,"Ilios Hydrogen Tuscany plant, phase 2",ITA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,100MW,100.0,22222,17.3,,22222,[2809][2810],Random location in Tuscany,43.27683091,10.85974246,,,,,
3207,"Ilios Hydrogen Marche plant, phase 2",ITA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,50MW,50.0,11111,8.7,,11111,[2809][2810],Random location in Marche,43.42372783,13.2312776,,,,,
3208,"H2Kwinana, expansion",AUS,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,1.5GW,1400.0,311111,242.6,,311111,[2810],"Kwinana refinery, Perth",-32.206526,115.821978,,,,,
3209,"Megaton Moon, phase 2",MRT,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,35 GWel capacity,33200.0,7377778,5752.0,,7377778,[2253],Random point in Mauritania,18.62110882,-12.46829637,,,,,
3210,Helios project,ITA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,5MW,5.0,1111,0.9,,1111,[2811],Port of Frosinone,41.26433444,13.17824053,,,,,
3211,"HMS Oil and Gas Radeland compressor station, phase 1",DEU,2026,,Feasibility study,ALK,,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,16MW,16.0,3478,2.7,,3478,[2812],Brandenburg,52.47176677,13.09764692,,,,,
3212,"HMS Oil and Gas Radeland compressor station, phase 2",DEU,2027,,Feasibility study,ALK,,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,64MW,48.0,10435,8.1,,10435,[2812],Brandenburg,52.47176677,13.09764692,,,,,
3213,"Besaya H2, phase 2",ESP,2030,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,1GW,500,111111,86.6,,111111,[1744][2813],Torrelavega,43.34813208,-4.050370423,,,,,
3214,Hydrogen from Biomass plant at Marolles Champagne,FRA,,,FID/Construction,Biomass,Biomass gasification,,,H2,,,,,,1,,,,,,,,,120 t H2/y production,,154,0,,154,[2814],Marolles Champagne,48.72075859,4.620152825,,,,,
3215,Axpo Bürglen,CHE,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,1,,,,,,,,,2 MW,2,444,0.3,,444,[2815],Bürglen,47.54726145,9.147902398,,,,,
3216,"Masshylia, phase 2",FRA,,,Feasibility study,ALK,,Grid+Renewables,,H2,,,,,,,,,,,1,,,,50 MW,50,10870,8.5,,10870,[1417],"TotalEnergies’s La Mède refinery (Châteauneuf-les-Martigues, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France)",43.39973395,5.101760323,,,,,
3218,H2 Global Energy Tunisia Green Hydrogen Project,TUN,2031,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,1.5-1.8GW,1650.0,366667,285.9,,366667,[2819],Random location in Tunisia,34.83378765,10.24125983,,,,,
3219,"Selene green hydrogen project, phase 1",BRA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,1,,,,,,,,,,,5MW,5.0,1111,0.9,,1111,[2821],"Araucaria, Parana",-25.51764461,-49.35677933,,,,,
3220,"Selene green hydrogen project, phase 2",BRA,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,1,,,,,,,,,,,40MW,40.0,8889,6.9,,8889,[2821],"Araucaria, Parana",-25.51764461,-49.35677933,,,,,
3221,"Selene green hydrogen project, phase 3",BRA,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,1,,,,,,,,,,,,0.0,,,,0,[2821],Random location in Rio de Janeiro state,-22.45156724,-42.07314365,,,,,
3222,Avina Midwest SAF (Ethanol to Jet) plant,USA,2028,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,1,,,55MW,55.0,12222,9.5,,12222,[2824],Central Illlinois,40.39068351,-89.54404908,,,,,
3223,Avina Nueces Clean Ammonia,USA,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,1,,,,,,,,,,,,,600 kt/y production,1094.1,243124,190,,243124,[2825],"Nueces, TX",27.65869416,-97.70496776,,,,,
3224,Avina Gulf Coast e-methanol plant,USA,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,MeOH,,,1,,,,,,,,,,,,500MW,500.0,111111,86.6,,111111,[2826],Random location in the Gulf of Mexico,28.80267032,-95.70676794,,,,,
3225,Yara biomethane blending project in Cubatao,BRA,2024,,Operational,Biomass,Biomethane reforming,,,Ammonia,,1,,,,,,,,,,,,,6-7 kt NH3/y,,1617,1,,1617,[2827],Yara facilities in Cubatao,-23.8725205,-46.4369986,,,,,
3226,Yamna Port de Açu,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,N/A,Ammonia,,1,,,,,,,,,,,,,1 GW - 1 Mt/y production,1000,222222,173.3,,222222,[2828],Port of Açu,-21.82412958,-41.00423094,,,,,
3227,Project INNA,CHL,2032,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Various,,1,,,1,,,,,,,,,,1700MW - 264 kt/y (capacidad),1700,377778,294.5,,377778,[2829][2830],Taltal,-25.4264695,-70.49137774,,,,,
3228,H2Orizonte Verde,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Rio de Janeiro state,-22.47254445,-42.02917118,,,,,
3229,DRHy,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Ceara,-4.023567858,-39.51855818,,,,,
3230,Camacari H2V Hub,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Camaçari,-12.67794932,-38.30158762,,,,,
3231,"Petrobras - Sao Paulo Hydrogen Hub	",BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Sao Paolo,-23.84067071,-46.6718511,,,,,
3232,B2H2,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Parana,-25.71963716,-48.75151596,,,,,
3233,H2AL-BRUK,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Sao Paolo,-23.9,-46.7,,,,,
3234,Cubatao H2V Hub,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Sao Paolo,-23.8,-46.6,,,,,
3235,MG H2 and Ammonia Hub,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Minas Gerais,-18.49708069,-44.70857249,,,,,
3236,Ecohydrogen - H2V Project,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Random location in Bahia,-14.21757006,-39.03587316,,,,,
3237,Suape Hub,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,,,,,,,,,,,0.0,,,,0,[2831][2832],Port of Suape,-8.400747464,-34.98005547,,,,,
3238,Electrochaea/Biocat Roslev project in Ryberg,DNK,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,1,,10MW,10.0,2222,1.7,,2222,[2835],Ryberg,55.30498605,10.50457228,,,,,
3239,"Anker electrolyzer project, phase 1",DEU,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,N/A,H2,,,,1,1,1,,,,,,,,,400 MW,400.0,88889,69.3,,88889,[2836][2842],Sande,53.47197762,8.041810977,,,,,
3240,"Anker electrolyzer project, phase 1",DEU,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,N/A,H2,,,,1,1,1,,,,,,,,,400 MW,400.0,88889,69.3,,88889,[2836][2842],Sande,53.47197762,8.041810977,,,,,
3241,DH2 Energy - Raviza,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,25 kt H2/y (production),52.0,11548,9,,11548,[2837],"Raviza, Extremadura",38.93440702,-6.253460568,,,,,
3242,DH2 Energy - Badajoz 3,ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,8.5 kt H2/y (production),17.7,3926,3,,3926,[2837],"Merida, Extremadura",38.91487395,-6.314612761,,,,,
3243,DH2 Energy - Badajoz 4,ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,17 kt H2/y (production),35.3,7853,6,,7853,[2837],"Merida, Extremadura",38.91487395,-6.314612761,,,,,
3244,DH2 Energy - Badajoz 2,ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,25 kt H2/y (production),52.0,11548,9,,11548,[2837],"Merida, Extremadura",38.91487395,-6.314612761,,,,,
3245,ETFuels Texas,USA,2029,,Feasibility study,ALK,,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,1,,,210MW,210.0,45652,35.6,,45652,[2838],Random Location in Texas,28.98734389,-95.98307263,,,,,
